Label,sensor0,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,sensor25,sensor26,sensor27
good,0,13,8,94,0,0,17,28,203,0,0,0,0,107,0,0,0,0,0,0,0,109,108,129,10,10,2,0
good,0,14,7,94,0,0,17,27,202,0,0,0,0,104,0,0,0,0,0,0,0,109,109,135,11,10,2,0
good,0,12,8,95,0,0,17,26,201,0,0,0,0,101,0,0,0,0,0,0,0,109,109,133,11,10,2,0
good,0,13,8,94,0,0,17,27,202,0,0,0,0,101,0,0,0,0,0,0,0,109,109,132,11,10,0,0
good,0,12,8,95,0,0,17,26,201,0,0,0,0,92,0,0,0,0,0,0,0,109,108,134,4,3,0,0
good,0,12,9,95,0,0,17,27,201,0,0,0,0,99,0,0,0,0,0,0,0,109,108,135,4,3,0,0
good,0,12,9,96,0,0,16,26,200,0,0,0,0,76,0,0,0,0,0,0,0,109,108,135,5,4,0,0
good,0,13,8,97,0,0,17,27,201,0,0,0,0,87,0,0,0,0,0,0,0,110,108,137,5,10,1,0
good,0,13,8,94,0,0,17,28,201,0,0,0,0,97,0,0,0,0,0,0,0,110,109,139,10,10,3,0
good,0,12,7,94,0,0,17,26,200,0,0,0,0,99,0,0,0,0,0,0,0,110,108,139,10,9,3,0
good,0,9,1,76,0,0,16,23,194,0,0,0,0,81,0,0,0,0,0,0,0,113,102,91,8,7,0,0
good,0,9,3,85,0,0,16,25,183,0,0,0,0,52,0,0,0,0,0,0,0,110,106,79,0,7,2,0
good,0,8,4,87,0,0,18,25,185,0,0,0,0,37,0,0,0,0,0,0,0,109,105,81,0,9,0,0
good,0,8,3,88,0,0,17,26,181,0,0,0,0,39,0,0,0,0,0,0,0,109,106,80,0,9,0,0
good,0,8,4,90,0,0,17,26,182,0,0,0,0,39,0,0,0,0,0,0,0,110,107,78,0,9,0,0
good,0,9,4,90,0,0,18,26,186,0,0,0,0,47,0,0,0,0,0,0,0,112,108,86,0,9,0,0
good,0,9,4,90,0,0,19,28,191,0,0,0,0,47,0,0,0,0,0,0,0,112,108,77,0,9,0,0
good,0,8,5,90,0,0,19,29,192,0,0,0,0,47,0,0,0,0,0,0,0,112,108,79,0,9,0,0
good,0,9,5,90,0,0,18,29,193,0,0,0,0,48,0,0,0,0,0,0,0,112,109,79,0,9,0,0
good,0,7,5,90,0,0,19,29,195,0,0,0,0,49,0,0,0,0,0,0,0,112,109,79,0,9,1,0
good,0,10,6,90,0,0,19,28,197,0,0,0,0,52,0,0,0,0,0,0,0,110,109,78,0,9,1,0
good,0,10,5,91,0,0,19,29,195,0,0,0,0,54,0,0,0,0,0,0,0,110,109,80,0,9,1,0
good,0,9,6,90,0,0,19,28,195,0,0,1,0,59,0,0,0,0,0,0,0,110,109,80,0,9,1,0
good,0,9,4,91,0,0,19,29,196,0,0,0,0,58,0,0,0,0,0,0,0,112,109,79,0,9,1,0
good,0,11,6,91,0,0,19,29,196,0,0,0,0,60,0,0,0,0,0,0,0,112,110,81,0,9,1,0
good,0,12,7,91,0,0,19,28,196,0,0,0,0,62,0,0,0,2,0,0,0,112,110,80,0,9,1,0
good,0,12,6,91,0,0,19,29,199,0,0,0,0,65,0,0,0,0,0,0,0,113,111,80,0,10,1,0
good,0,12,6,90,0,0,19,30,199,0,0,0,0,67,0,0,0,0,0,0,0,114,111,80,0,9,1,0
good,0,12,7,91,0,0,19,28,197,0,0,0,0,67,0,0,0,1,0,0,0,113,111,79,0,9,1,0
good,0,12,6,90,0,0,19,29,198,0,0,0,0,70,0,0,0,0,0,0,0,114,111,80,0,9,1,0
good,0,10,5,90,0,0,19,30,198,0,0,0,0,77,0,0,0,0,0,0,0,113,112,82,0,10,2,0
good,0,11,6,90,0,0,19,29,197,0,0,0,0,76,0,0,0,0,0,0,0,112,111,81,0,9,0,0
good,0,12,6,91,0,0,20,29,197,0,0,0,0,71,0,0,0,0,0,0,0,114,112,84,0,9,1,0
good,0,12,6,91,0,0,19,29,198,0,0,0,0,72,0,0,0,0,0,0,0,114,112,83,0,9,1,0
